66,68,/media/images/zsolt-066.width-800.jpg,"Örvendj, egész föld, az Istennek"
67,69,/media/images/zsolt-067.width-800.jpg,"Úr Isten, áldj meg jóvoltodból"
68,70,/media/images/zsolt-068.width-800.jpg,"Hogyha felindul az Isten"
69,71,/media/images/zsolt-069.width-800.jpg,"Úr Isten, tarts meg és segíts engem"
70,72,/media/images/zsolt-070.width-800.jpg,"Siess, ments meg, Uram Isten"
71,74,/media/images/zsolt-071.width-800.jpg,"Tebenned bízom, én Istenem"
72,75,/media/images/zsolt-072.width-800.jpg,"Uram, a te ítéletedet"
73,76,/media/images/zsolt-073.width-800.jpg,"Bizonyára jó az Isten"
74,77,/media/images/zsolt-074.width-800.jpg,"Miért vetsz minket így el, Úr Isten?"
75,78,/media/images/zsolt-075-var.width-800.jpg,"Dicsérünk téged, Isten"
76,80,/media/images/zsolt-076.width-800.jpg,"Ismeretes az Úr Isten"
77,82,/media/images/zsolt-077.width-800.jpg,"Az Istenhez az én szómat"
78,84,/media/images/zsolt-078.width-800.jpg,"Hallgass, én népem, az én törvényemre"
79,85,/media/images/zsolt-079.width-800.jpg,"Öröködbe, Uram, pogányok jöttek"
80,86,/media/images/zsolt-080.width-800.jpg,"Hallgasd meg, Izráel pásztora"
81,87,/media/images/zsolt-081.width-800.jpg,"Örvendezzetek Az erős Istennek"
82,88,/media/images/zsolt-082.width-800.jpg,"Az Isten áll ő seregében"
83,89,/media/images/zsolt-083.width-800.jpg,"Uram, ne hallgass ily igen"
84,90,/media/images/zsolt-084.width-800.jpg,"Ó, seregeknek Istene"
85,91,/media/images/zsolt-085.width-800.jpg,"Nagy kegyes voltál, Uram, földeddel"
86,93,/media/images/zsolt-086.width-800.jpg,"Hajtsd hozzám, Uram, füledet"
87,94,/media/images/zsolt-087.width-800.jpg,"Az Úr Isten az ő lakóhajlékát"
88,96,/media/images/zsolt-088.width-800.jpg,"Úr Isten, én üdvösségem"
89,98,/media/images/zsolt-089.width-800.jpg,"Az Úrnak irgalmát örökké éneklem"
90,100,/media/images/zsolt-090.width-800.jpg,"Tebenned bíztunk eleitől fogva"
91,144,/media/images/zsolt-091.width-800.jpg,"Aki a felséges Úrnak"
92,146,/media/images/zsolt-092.width-800.jpg,"Ékes dolog dicsérni, Uram, Felségedet"
93,148,/media/images/zsolt-093.width-800.jpg,"Nagy hatalommal regnál az Isten"
94,151,/media/images/zsolt-094.width-800.jpg,"Ó, erős bosszúálló Isten"
95,153,/media/images/zsolt-095.width-800.jpg,"Jertek, örvendjünk mindnyájan"
96,155,/media/images/zsolt-096.width-800.jpg,"Énekeljetek, minden népek"
97,157,/media/images/zsolt-097-var.width-800.jpg,"Az Úr Isten regnál"
98,160,/media/images/zsolt-098.width-800.jpg,"Énekeljetek új éneket"
99,162,/media/images/zsolt-099.width-800.jpg,"Az Úr országol És regnál nagy jól"
100,165,/media/images/zsolt-100.width-800.jpg,"E földön, ti, minden népek"
101,168,/media/images/zsolt-101.width-800.jpg,"Mindennek előtte irgalmasságról"
102,265,/media/images/zsolt-102.width-800.jpg,"Hallgasd meg, Uram, kérésem"
103,266,/media/images/zsolt-103.width-800.jpg,"Áldjad, én lelkem, Urad, Istenedet,"
104,267,/media/images/zsolt-104.width-800.jpg,"Áldjad, lelkem, az Urat, és tiszteld"
105,268,/media/images/zsolt-105.width-800.jpg,"Adjatok hálát az Istennek"
106,269,/media/images/zsolt-106.width-800.jpg,"Az Urat áldjátok, mert jó"
107,270,/media/images/zsolt-107.width-800.jpg,"Dicsérjétek az Urat"
108,271,/media/images/zsolt-108.width-800.jpg,"Úr Isten, kész az én szívem"
109,272,/media/images/zsolt-109.width-800.jpg,"Ó, Úr Isten, én dicsőségem"
110,273,/media/images/zsolt-110.width-800.jpg,"Az Úr Isten monda az én Uramnak"
111,274,/media/images/zsolt-111.width-800.jpg,"Hálát adok, Uram, néked"
112,275,/media/images/zsolt-112.width-800.jpg,"Boldog az ember, ki az Istent"
113,276,/media/images/zsolt-113.width-800.jpg,"Az Urat, ti, ő szolgái"
114,277,/media/images/zsolt-114.width-800.jpg,"Hogy Izráel kijött Egyiptomból"
115,278,/media/images/zsolt-115.width-800.jpg,"Nem nekünk, Uram, nem nekünk engedd"
116,279,/media/images/zsolt-116.width-800.jpg,"Szeretem és áldom az Úr Istent"
117,280,/media/images/zsolt-117.width-800.jpg,"Az Urat minden nemzetek"
118,281,/media/images/zsolt-118.width-800.jpg,"Adjatok hálákat az Úrnak"
119,282,/media/images/zsolt-119.width-800.jpg,"Az oly emberek nyilván boldogok"
120,283,/media/images/zsolt-120.width-800.jpg,"Én az Úr Istenhez kiálték"
121,284,/media/images/zsolt-121.width-800.jpg,"Szemem a hegyekre vetem"
122,285,/media/images/zsolt-122_L6t5AGC.width-800.jpg,"Örvendek az én szívembe’"
123,286,/media/images/zsolt-123.width-800.jpg,"Tehozzád szemeimet, Úr Isten"
124,287,/media/images/zsolt-124.width-800.jpg,"Az Izráel ezt nyilván mondhatja"
125,288,/media/images/zsolt-125.width-800.jpg,"Akik bíznak az Úr Istenben"
126,289,/media/images/zsolt-126.width-800.jpg,"Mikor a Siont az Isten"
127,290,/media/images/zsolt-127.width-800.jpg,"Hogyha ember házat épít"
128,291,/media/images/zsolt-128-var.width-800.jpg,"Boldog az ember nyilván"
129,292,/media/images/zsolt-129.width-800.jpg,"Én ifjúságomtól fogva engem"
130,293,/media/images/zsolt-130.width-800.jpg,"Tehozzád teljes szívből"
131,294,/media/images/zsolt-131.width-800.jpg,"Uram, nem űz nagyra szívem"
132,295,/media/images/zsolt-132.width-800.jpg,"Emlékezzél meg, Úr Isten"
133,296,/media/images/zsolt-133.width-800.jpg,"Ímé, mily jó és mily nagy gyönyörűség"
134,297,/media/images/zsolt-134.width-800.jpg,"Úrnak szolgái mindnyájan"
135,298,/media/images/zsolt-135.width-800.jpg,"Áldjátok az Úr nevét"
136,299,/media/images/zsolt-136.width-800.jpg,"Dicsérjétek az Urat"
